Group,Question_Arabic,Question_English,ESTJ_Arabic,ESTJ_English,INFP_Arabic,INFP_English,Rank,title1,title2
Make decision,إذا كنت صاحب عمل و كان لا من الإستغناء عن بعض الموظيفن لضعف آدائهم,If you are an employer and it is not dispensing with some of the two jobs because of their weak performance,لن تتردد فى التوقيع على القرار,You will not hesitate to sign the decision,ستحاول أن تجد حلا آخر أو وظيفة أخري قبل فصلهم عن العمل,You will try to find another solution or another job before they are separated from work,2,Thinking,Feeling
Make decision,فى المناقشات تحرص على,"In discussions, you are keen on",أن تكون الحقيقة أهم من مراعاة شعور الآخرين,The truth is more important than taking into account the feeling of others,إحترام وجهة نظر الآخرين بالرغم من كونها مخالفة للحقيقة,Respecting the point of view of others despite being a violation of the truth,1,Thinking,Feeling
Make decision,إلى إي جانب تميل أكثر,To what side tends more,القوة اهم من الحب,Power is more important than love,الحب أهم من القوة,Love is more important than strength,1,Thinking,Feeling
Make decision,غالبًا ما تشعر كما لو أنك مضطر إلى تبرير أفعالك للآخرين,You often feel as if you have to justify your actions to others,نادرا من أفعل ذلك,I rarely do so,نعم فى كثير من الأحيان,"Yes, often",1,Thinking,Feeling
Time spending,كيف تقضى عطلة نهاية الأسبوع غالبا,How to spend the weekend often,أخطط لما أريد أن أفعل . ما هو و متى أبدأ,I plan for what I want to do. What is it and when do I start,حسب الاحوال,According to the conditions,3,Judging,Perceiving
Time spending,الإلتزام بالجدول الزمني و تحديد المواعيد مسبقا عموما,Commitment to the schedule and the appointments in advance in general,يروق لك,You like you,يقيدك,It restricts you,1,Judging,Perceiving
Time spending,بصفة عامة المناسبات الخاصة بك كيف ترتب لها,"In general, your occasions are how to receive it",تخطط لها مبكرا,She plans her early,تتركها حتى يأتي وقتها,Leave her until her time comes,1,Judging,Perceiving
Time spending,هل تفضل أن تقوم بأعمالك,Do you prefer to do your business?,حسب الجدول المحدد,According to the specified schedule,بمجرد أن تخطر على بالك,Once you come to mind,2,Judging,Perceiving
Time spending,هل تفضل أن,Do you prefer that?,تضع خطط مستقبلية,They set future plans,تنتظر ماذا سيحدث ثم تخطط ماذا ستفعل,Waiting for what will happen and then plan what you will do,1,Judging,Perceiving
Time spending,إذا أردت قضاء يوم فى مكان ما,If you want to spend a day somewhere,تخطط كيف ستقضى ذلك اليوم,Plan how you will spend that day,تذهب و تقضيه حيثما اتفق,You go and spend it wherever it is agreed,1,Judging,Perceiving
Time spending,أثناء عملك اليومي,During your daily work,تحب أن تنجز جميع المهام مبكرا حتى لا تضطر للوقع تحت ضغط الزمن,You like to accomplish all the tasks early so that you do not have to impose under the pressure of time,المهام التي تجعلك في سباق مع الزمن لإتمامها تجعلك تشعر بنوع من النشوة,The tasks that make you in a race against time to complete it make you feel a kind of ecstasy,1,Judging,Perceiving
Time spending,ما هي الكلمة الأكثر تعبيرا عن شخصيتك ??,What is the most expressive word for your personality ??,التحديد,Selection,الخيارات,Options,1,Judging,Perceiving
Time spending,إذا كان لديك عمل مهم يجب تسليمه الأسبوع القادم,"If you have an important work, it must be delivered next week",تخصص وقت لكتابة كل الاشياء التي يجب فعلها و تحدد الزمن لكل واحدة منها,Time is allocated to write all the things that must be done and set time for each of them,تبدأ مباشرة فى العمل,Start directly at work,1,Judging,Perceiving
Time spending,هل تشعر بأن التقييد بجدول زمني لتنفيذ المهام,Do you feel that the restriction is a task schedule,مفيد جدا و هو الخيار الأفضل عموما,Very useful and it is the best option in general,ضروري في بعض الأحيان لكن عموما غير مريح,Sometimes it is necessary but generally uncomfortable,1,Judging,Perceiving
Time spending,هل كتابة قائمة بالأشياء التي يجب فعلها في عطلة نهاية الأسبوع,Do you write a list of things that must be done on the weekend?,تروق لك,You appeal to you,تجعلك تشعر بالحد من حريتك,It makes you feel limited to your freedom,1,Judging,Perceiving
Time spending,في الغالب هل تفضل,"Mostly, do you prefer?",ترتّب مسبقا للإرتباطات الإجتماعية,Early arranged for social connections,أن يكون جدولك خالي من الارتباط وتبدأ في الترتيب في لحظة معينة,That your schedule is free of correlation and start arrangement at a certain moment,1,Judging,Perceiving
Time spending,بالنسبة للمواعيد,For dates,أحرص على الحضور في الموعد أو قبله,Make sure to come on the date or before it,كثيرا ما أتأخر عنها,I often delay it,3,Judging,Perceiving
Time spending,العثور على الادوات التى نادرا ما تستخدمها,Find the tools that you rarely use,لا يحتاج إى وقت فكل إداة توضع في مكان محدد,"It does not need any time, each tool is placed in a specific place",في الغالب يستغرق وقتا و قد لا أجدها أحيانا,Often it takes time and I may not find it sometimes,2,Judging,Perceiving
Time spending,إذا تم تغيير موعد خاصة بك,If your date is changed,يسبب لك نوع من الارباك,It causes you a kind of confusion,لا مشكلة عنددي في ذلك,No problem I have to do so,1,Judging,Perceiving
